Tên trường,Link đề án,Địa chỉ
KHA - Đại Học Kinh Tế Quốc Dân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-quoc-dan-KHA.html,Hà Nội
BKA - Đại Học Bách Khoa Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,Hà Nội
HTC - Học Viện Tài chính,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-tai-chinh-HTC.html,Hà Nội
NHH - Học Viện Ngân Hàng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-ngan-hang-NHH.html,Hà Nội
NTH - Trường Đại học Ngoại thương,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ngoai-thuong-co-so-phia-bac-NTH.html,Hà Nội
QSB - Trường Đại Học Bách Khoa HCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-hcm-QSB.html,HCM - Hồ Chí Minh
YHB - Trường Đại Học Y Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-ha-noi-YHB.html,Hà Nội
BVH - Học Viện Công Nghệ Bưu Chính Viễn Thông,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html,Hà Nội
SPH - Trường Đại Học Sư Phạm Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-ha-noi-SPH.html,Hà Nội
TMU - Trường Đại Học Thương Mại,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thuong-mai-TMU.html,Hà Nội
SPS - Trường Đại Học Sư Phạm TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-tphcm-SPS.html,HCM - Hồ Chí Minh
YDS - Đại Học Y Dược TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-tphcm-YDS.html,HCM - Hồ Chí Minh
QHI - Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html,Hà Nội
HNM - Trường Đại học Thủ Đô Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thu-do-ha-noi-HNM.html,Hà Nội
GHA - Trường Đại Học Giao Thông Vận Tải,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-giao-thong-van-tai-co-so-phia-bac-GHA.html,Hà Nội
YTB - Trường Đại Học Y Dược Thái Bình,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-thai-binh-YTB.html,Thái Bình
KMA - Học Viện Kỹ Thuật Mật Mã,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-ky-thuat-mat-ma-KMA.html,Hà Nội
DCN - Đại Học Công Nghiệp Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-ha-noi-DCN.html,Hà Nội
YPB - Trường Đại Học Y Dược Hải Phòng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-hai-phong-YPB.html,Hải Phòng
IUH - Trường Đại Học Công Nghiệp TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-tphcm-IUH.html,Hồ Chí Minh
HPN - Học Viện Phụ Nữ Việt Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-phu-nu-viet-nam-HPN.html,Hà Nội
DKH - Trường Đại Học Dược Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-duoc-ha-noi-DKH.html,Hà Nội
ANH - Học Viện An Ninh Nhân Dân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-an-ninh-nhan-dan-ANH.html,Hà Nội
DKY - Trường Đại Học Kỹ Thuật Y Tế Hải Dương,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ky-thuat-y-te-hai-duong-DKY.html,Hải Dương
GTS - Trường Đại Học Giao Thông Vận Tải TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-giao-thong-van-tai-tphcm-GTS.html,HCM - Hồ Chí Minh
HYD - Học Viện Y Dược Học Cổ Truyền Việt Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-y-duoc-hoc-co-truyen-viet-nam-HYD.html,Hà Nội
CSH - Học Viện Cảnh Sát Nhân Dân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-canh-sat-nhan-dan-CSH.html,Hà Nội
DKK - Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-ky-thuat-cong-nghiep-DKK.html,Hà Nội
DCT - Trường Đại Học Công Thương TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-thuong-tphcm-DCT.html,Hồ Chí Minh
